author_id,created_at,text
AppleSupport,2025-07-25T09:30:00.080847,"@115864 We'd like to help, but we'll need more details. What's happening on your device and which model is it? Do you have iOS 11.1?"
115864,2025-07-25T09:30:00.170469,@AppleSupport I have the iPhone 6s Plus and just did the most recent update.
AppleSupport,2025-07-25T09:30:00.259430,"@115864 To make sure, is iOS 11.1 installed on it currently? Also, any steps tried so far? DM us here: https://t.co/GDrqU22YpT"
115864,2025-07-25T09:30:00.349030,Thank you @AppleSupport I updated my phone and now it is even slower and barely works. Thank you for ruining my phone.😤
AppleSupport,2025-07-25T09:30:00.437632,@115865 Thanks! Which iOS version is currently showing in Settings &gt; General &gt; About?
115865,2025-07-25T09:30:00.524738,@AppleSupport iOS 11.0.3
AppleSupport,2025-07-25T09:30:00.614342,"@115865 Let's check Settings &gt; General &gt; Software Update. iOS 11.1 was released earlier today. If you see it, please backup &amp; update."
115865,2025-07-25T09:30:00.700004,@AppleSupport Okey. Thank you! 🤗
AppleSupport,2025-07-25T09:30:00.788453,"@115865 Our pleasure. If you're still having issues after a back up and update, contact us back. We're happy to help."
115865,2025-07-25T09:30:00.874150,@AppleSupport iPhone 7 Plus 😊
AppleSupport,2025-07-25T09:30:00.960089,@115865 Hi there! What type of device are we working with?
115865,2025-07-25T09:30:01.049963,@AppleSupport I need the software update urgently. The battery lasts literally half a day 🙍🏼🙁@AppleSupport
AppleSupport,2025-07-25T09:30:01.139254,@115865 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs
115865,2025-07-25T09:30:01.222673,Hola @AppleSupport necesito urgente la actualización de software. La batería me dura literal medio día 🙍🏼🙇🏼‍♀️
AppleSupport,2025-07-25T09:30:01.308953,@115866 We want to help! DM us and let us know more about the issues you are having. https://t.co/GDrqU22YpT
AppleSupport,2025-07-25T09:30:01.482607,@115867 We'd like to get you speaking to our experts here: https://t.co/IBIY3vMgPj
AppleSupport,2025-07-25T09:30:01.739350,"@115868 We've just released iOS 11.1. We suggest backing up &amp; updating. Then, test the issue again. Here's how: https://t.co/80YRnjDFDk"
115868,2025-07-25T09:30:01.824039,"@AppleSupport Yes it did, 11.0.3"
AppleSupport,2025-07-25T09:30:01.909118,@115868 Let us help with your Home button. Did this issue start right after iOS 11? Which version of iOS 11 are you running?
115868,2025-07-25T09:30:01.994207,MY HOME BUTTON DOESN’T WORK #IOS11 @AppleSupport
AppleSupport,2025-07-25T09:30:02.079522,@115869 We're here to help. Meet us in DM and we can check on available options. https://t.co/GDrqU22YpT
AppleSupport,2025-07-25T09:30:02.251765,@115870 DM us the specific iOS version you are running currently and we'll continue there. https://t.co/GDrqU22YpT
115870,2025-07-25T09:30:02.339533,@AppleSupport I can not find an option to get it there. It was just always there when playing.
AppleSupport,2025-07-25T09:30:02.428941,"@115870 Just to confirm, this is only happening with Spotify, correct?"
115870,2025-07-25T09:30:02.514517,@AppleSupport The app is still there. But no longer able to control it from the lockscreen.
AppleSupport,2025-07-25T09:30:02.600161,@115870 Thanks for reaching out to us. Are you experiencing the missing app after restating your device?
115870,2025-07-25T09:30:02.685670,After update #ios1103 no spotify on my lock screen?@AppleSupport
AppleSupport,2025-07-25T09:30:02.772780,@115871 We want to help you get your battery life back on track. Please DM and we'll look at it together. https://t.co/GDrqU22YpT
115872,2025-07-25T09:30:03.035972,@Uber_Support Already did that was told we requested to dropped off somewhere different which is completely false.
115872,2025-07-25T09:30:03.205093,@115873 you need to correct false charges from a trip in Lexington KY on Saturday. I want my $13 back #lyingdriver #theft
115874,2025-07-25T09:30:03.384233,@115873 my driver just drove me to the department of air travel instead of the airport.......... rufkm
Delta,2025-07-25T09:30:04.790012,@115882 I'm sorry. The earlier flight may not have been available at the time of your scheduled change. *TMT
Delta,2025-07-25T09:30:04.960414,"@115882 My apologies. If that flight never showed up on your search, that would mean it was full.  *TMT"
Delta,2025-07-25T09:30:05.135755,@115883 Please share additional details about the nature of this technical issue.  *AFC
115883,2025-07-25T09:30:05.222167,@Delta Via DM?
Delta,2025-07-25T09:30:05.309185,@115883 Please do.  *AFC https://t.co/6iDGBJAc2m
115883,2025-07-25T09:30:05.395439,@Delta Just DM'd you with a screenshot and explanation.  😊
115883,2025-07-25T09:30:05.482037,@Delta It seems this technical issue still hasn't Ben fixed.   Can you look into it again?  🙆🏼‍♂️
Delta,2025-07-25T09:30:05.567923,"@115883 I sincerely apologize, our IT team is diligently working on it, we should have it up and working very soon.  *TMC"
115883,2025-07-25T09:30:05.652791,"@Delta The ""change flight"" search option on your website is broken once again.  😑"
Delta,2025-07-25T09:30:05.742154,"@115884 Oh, no! Please speak to a member of the flt crew for immediate assistance. *AAB"
Delta,2025-07-25T09:30:05.918928,@115885 2/2 https://t.co/6iDGBJAc2m
Delta,2025-07-25T09:30:06.260797,"@115885 Hello, Richard! Please DM your confirmation# and I will try to assist. *TCC"
Delta,2025-07-25T09:30:06.512914,"@115885 Hi, Richard. Can you pls DM your confirmation number so I may look into this matter for you? Thanks! *TJF https://t.co/6iDGBJAc2m"
Delta,2025-07-25T09:30:06.687036,"@115885 Hi Richard, I apologize for the delayed response time. Please DM your conf # so I can review your trip details.  *TLT... 1/2"
Delta,2025-07-25T09:30:06.774246,@115886 We sincerely apologize for your disappointment. We always strive to create a positive customer experience. *AJC
115886,2025-07-25T09:30:06.858979,@Delta #Again #nothing #bs #no #answers
Delta,2025-07-25T09:30:06.944821,"@115886 Hi Caesar, can you DM your confirmation # to the link provided? I will be glad to look into this for you.   *TBT https://t.co/6iDGBJAc2m"
115886,2025-07-25T09:30:07.031259,@Delta Same again! #equipment #change #no #guaranteed #seats #apologies I’ll DM you if you can give me a #real #answer and no #standard #bs #answers
Delta,2025-07-25T09:30:07.117166,@115886 I would be glad to look into this for you.  *TBT
115886,2025-07-25T09:30:07.203488,"@Delta OK it was not a full flight, #equipment change had nothing to do with comfort class, no #disabilities (and a handling agent telling #customer #care would take care of us) So please non of these as an excuse! I’ll retwitter your reply! Thanks"
Delta,2025-07-25T09:30:07.290287,@115886 Thanks for your patience. *HCK
Delta,2025-07-25T09:30:07.378896,@115886 Thanks!  *HCK
Delta,2025-07-25T09:30:07.463944,@115886 Thank you for being the most important part of Delta.  https://t.co/YfI5Cj9udk *HCK
Delta,2025-07-25T09:30:07.549366,"@115886 I am including a link of our Commitment to our customers, please let us know if we can be of further assistance.  *HCK"
Delta,2025-07-25T09:30:07.635580,@115886 It can be difficult to assign the same seating because the aircraft configuration may be different.  *HCK
Delta,2025-07-25T09:30:07.721769,@115886 ...possible. *HCK 2/2
Delta,2025-07-25T09:30:07.806045,"@115886 Unfortunately, we are not able to guarantee seats nor flight schedules.  *HCK"
Delta,2025-07-25T09:30:07.891080,"@115886 Hi Caesar, I thank you for your patience. I had an opportunity to read the thread. *HCK"
Delta,2025-07-25T09:30:07.976814,@115886 Please remember that help is just a tweet away. Have a wonderful evening.  *HCK
115886,2025-07-25T09:30:08.062594,"@Delta Obviously you didn't read what already was said before, you do give exactly the same bs answers. I know there is no guarantee but I like to know why they moved us. I know, because a #Delta employee was sitting in my seat and you can't say that 😡😡😡"
Delta,2025-07-25T09:30:08.147828,@115886 ...guaranteed. It was changed because operational needs required such.  *ABN 3/3
115886,2025-07-25T09:30:08.231612,@Delta Is this a #computer #answering my tweets? 😂😂😂 #unbelievable!!!!! same #stupid #answers!!
Delta,2025-07-25T09:30:08.316050,@115886 You're receiving the same answers because the information that's being relayed is the same.  *ABN
Delta,2025-07-25T09:30:08.400348,@115886 *a real *ABN
115886,2025-07-25T09:30:08.485082,@Delta Even #worse 😜
Delta,2025-07-25T09:30:08.569279,"@115886 ...Thank you for tweeting us tonight, Caesar. *ABN 2/2"
Delta,2025-07-25T09:30:08.655246,@115886 I regret that you aren't happy with the information given and apologize for not being able to address your concerns via this channel.... 1/2
Delta,2025-07-25T09:30:08.739560,"@115886 I assure you, I'm areal person, Caesar.  *ABN"
Delta,2025-07-25T09:30:08.828876,"@115886 ...to shift. Because of such, though we try our best to honor seat requests, do note - it's just that, a request and is not... 2/3"
Delta,2025-07-25T09:30:08.918595,"@115886 I understand your frustration and apologize again for your experience. As previously explained, schedule changes occur causing seats... 1/3"
Delta,2025-07-25T09:30:09.008363,@115886 Thank you for being the most important part of Delta.  *HCK
Delta,2025-07-25T09:30:09.095508,"@115886 May I have your ticket number, please? Unfortunately, the confirmation provide is no longer active.  *HCK"
115886,2025-07-25T09:30:09.180529,@Delta 0062395415777
Delta,2025-07-25T09:30:09.264736,"@115886 Good evening, Caesar!  *HCK"
Delta,2025-07-25T09:30:09.349149,"@115886 I would like to sincerely apologize for the stress, frustration, and the inconvenience that you endured due to an equipment change.  *HCK"
Delta,2025-07-25T09:30:09.434232,"@115886 In the event of an equipment change, we put forth our best efforts to seat everyone together as they were, but sometimes that is not... 1/2"
115886,2025-07-25T09:30:09.519417,@delta #delta moves you to #dm the moment you have a #complaint with no results. Just got some #bs #answers but no real reason why they changed our #seating!
SpotifyCares,2025-07-25T09:30:09.607692,@115887 Hmm. Can you try restarting your device by holding the Sleep/Wake + Volume Down buttons for 10 seconds? Keep us posted /LS
115887,2025-07-25T09:30:09.692368,@SpotifyCares doesn’t work and i even tried deleting the app
SpotifyCares,2025-07-25T09:30:09.779668,@115887 Could you send us a DM with your account's email address? We'll take a look backstage /CH https://t.co/ldFdZRiNAt
115887,2025-07-25T09:30:09.866191,@SpotifyCares Premium &amp; when i️ have it on shuffle it turns off when the song is done and just plays in order and the repeat lights up but doesn’t repeat
SpotifyCares,2025-07-25T09:30:09.952783,"@115887 Thanks. Just to be sure, are you Free or Premium? Also, can you give us more info on what happens when you try using it? /CB"
115887,2025-07-25T09:30:10.037437,@SpotifyCares iphone 7+ and i have the most recent update for spotify
SpotifyCares,2025-07-25T09:30:10.127190,"@115887 Hey! What device, operating system, and Spotify version are you using? We'll see what we can suggest /CB"
